Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginStateName,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestStateName,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2025,1,1,1,3,1/1/2025,DL,2745,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,10397,1039707,30397,ATL,"Atlanta, GA",Georgia,826,943.0,77.0,77.0,1.0,5.0,0800-0859,18.0,1001.0,1043.0,6.0,950,1049.0,59.0,59.0,1.0,3.0,0900-0959,0,,0,59.0,0.0,0.0,0.0,0.0
2025,1,1,2,4,1/2/2025,DL,2745,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,10397,1039707,30397,ATL,"Atlanta, GA",Georgia,826,823.0,-3.0,0.0,0.0,-1.0,0800-0859,25.0,848.0,931.0,7.0,950,938.0,-12.0,0.0,0.0,-1.0,0900-0959,0,,0,,,,,
2025,1,1,3,5,1/3/2025,DL,2745,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,10397,1039707,30397,ATL,"Atlanta, GA",Georgia,826,823.0,-3.0,0.0,0.0,-1.0,0800-0859,15.0,838.0,921.0,7.0,950,928.0,-22.0,0.0,0.0,-2.0,0900-0959,0,,0,,,,,
2025,1,1,4,6,1/4/2025,DL,2745,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,10397,1039707,30397,ATL,"Atlanta, GA",Georgia,826,841.0,15.0,15.0,1.0,1.0,0800-0859,16.0,857.0,941.0,17.0,950,958.0,8.0,8.0,0.0,0.0,0900-0959,0,,0,,,,,
2025,1,1,5,7,1/5/2025,DL,2745,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,10397,1039707,30397,ATL,"Atlanta, GA",Georgia,826,822.0,-4.0,0.0,0.0,-1.0,0800-0859,17.0,839.0,923.0,7.0,950,930.0,-20.0,0.0,0.0,-2.0,0900-0959,0,,0,,,,,
2025,1,1,1,3,1/1/2025,DL,2792,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13487,1348702,31650,MSP,"Minneapolis, MN",Minnesota,1200,1156.0,-4.0,0.0,0.0,-1.0,1200-1259,15.0,1211.0,1325.0,4.0,1349,1329.0,-20.0,0.0,0.0,-2.0,1300-1359,0,,0,,,,,
2025,1,1,2,4,1/2/2025,DL,2792,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13487,1348702,31650,MSP,"Minneapolis, MN",Minnesota,1200,1201.0,1.0,1.0,0.0,0.0,1200-1259,16.0,1217.0,1336.0,4.0,1349,1340.0,-9.0,0.0,0.0,-1.0,1300-1359,0,,0,,,,,
2025,1,1,3,5,1/3/2025,DL,2792,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13487,1348702,31650,MSP,"Minneapolis, MN",Minnesota,1200,1158.0,-2.0,0.0,0.0,-1.0,1200-1259,12.0,1210.0,1336.0,5.0,1349,1341.0,-8.0,0.0,0.0,-1.0,1300-1359,0,,0,,,,,
2025,1,1,1,3,1/1/2025,DL,2821,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13487,1348702,31650,MSP,"Minneapolis, MN",Minnesota,1905,1902.0,-3.0,0.0,0.0,-1.0,1900-1959,17.0,1919.0,2041.0,12.0,2100,2053.0,-7.0,0.0,0.0,-1.0,2100-2159,0,,0,,,,,
2025,1,1,2,4,1/2/2025,DL,2821,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13487,1348702,31650,MSP,"Minneapolis, MN",Minnesota,1905,1857.0,-8.0,0.0,0.0,-1.0,1900-1959,22.0,1919.0,2041.0,12.0,2100,2053.0,-7.0,0.0,0.0,-1.0,2100-2159,0,,0,,,,,
2025,1,1,3,5,1/3/2025,DL,2821,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13487,1348702,31650,MSP,"Minneapolis, MN",Minnesota,1905,1858.0,-7.0,0.0,0.0,-1.0,1900-1959,16.0,1914.0,2045.0,6.0,2100,2051.0,-9.0,0.0,0.0,-1.0,2100-2159,0,,0,,,,,
2025,1,1,6,1,1/6/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1844.0,23.0,23.0,1.0,1.0,1800-1859,19.0,1903.0,2024.0,8.0,2017,2032.0,15.0,15.0,1.0,1.0,2000-2059,0,,0,0.0,0.0,0.0,0.0,15.0
2025,1,1,7,2,1/7/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1815.0,-6.0,0.0,0.0,-1.0,1800-1859,16.0,1831.0,1944.0,8.0,2017,1952.0,-25.0,0.0,0.0,-2.0,2000-2059,0,,0,,,,,
2025,1,1,8,3,1/8/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1819.0,-2.0,0.0,0.0,-1.0,1800-1859,15.0,1834.0,1950.0,13.0,2017,2003.0,-14.0,0.0,0.0,-1.0,2000-2059,0,,0,,,,,
2025,1,1,9,4,1/9/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1814.0,-7.0,0.0,0.0,-1.0,1800-1859,18.0,1832.0,1953.0,7.0,2017,2000.0,-17.0,0.0,0.0,-2.0,2000-2059,0,,0,,,,,
2025,1,1,10,5,1/10/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1827.0,6.0,6.0,0.0,0.0,1800-1859,42.0,1909.0,2032.0,23.0,2017,2055.0,38.0,38.0,1.0,2.0,2000-2059,0,,0,0.0,6.0,32.0,0.0,0.0
2025,1,1,11,6,1/11/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1810,1810.0,0.0,0.0,0.0,0.0,1800-1859,15.0,1825.0,1946.0,8.0,2006,1954.0,-12.0,0.0,0.0,-1.0,2000-2059,0,,0,,,,,
2025,1,1,12,7,1/12/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1848.0,27.0,27.0,1.0,1.0,1800-1859,31.0,1919.0,2035.0,8.0,2017,2043.0,26.0,26.0,1.0,1.0,2000-2059,0,,0,5.0,0.0,0.0,0.0,21.0
2025,1,1,13,1,1/13/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1812.0,-9.0,0.0,0.0,-1.0,1800-1859,18.0,1830.0,1945.0,12.0,2017,1957.0,-20.0,0.0,0.0,-2.0,2000-2059,0,,0,,,,,
2025,1,1,14,2,1/14/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1811.0,-10.0,0.0,0.0,-1.0,1800-1859,14.0,1825.0,1944.0,22.0,2017,2006.0,-11.0,0.0,0.0,-1.0,2000-2059,0,,0,,,,,
2025,1,1,15,3,1/15/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1812.0,-9.0,0.0,0.0,-1.0,1800-1859,17.0,1829.0,1944.0,8.0,2017,1952.0,-25.0,0.0,0.0,-2.0,2000-2059,0,,0,,,,,
2025,1,1,16,4,1/16/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1818.0,-3.0,0.0,0.0,-1.0,1800-1859,28.0,1846.0,2012.0,9.0,2017,2021.0,4.0,4.0,0.0,0.0,2000-2059,0,,0,,,,,
2025,1,1,17,5,1/17/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1811.0,-10.0,0.0,0.0,-1.0,1800-1859,13.0,1824.0,1940.0,7.0,2017,1947.0,-30.0,0.0,0.0,-2.0,2000-2059,0,,0,,,,,
2025,1,1,18,6,1/18/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1810,1802.0,-8.0,0.0,0.0,-1.0,1800-1859,12.0,1814.0,1928.0,9.0,2006,1937.0,-29.0,0.0,0.0,-2.0,2000-2059,0,,0,,,,,
2025,1,1,19,7,1/19/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1814.0,-7.0,0.0,0.0,-1.0,1800-1859,21.0,1835.0,1946.0,14.0,2017,2000.0,-17.0,0.0,0.0,-2.0,2000-2059,0,,0,,,,,
2025,1,1,20,1,1/20/2025,DL,1621,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1821,1849.0,28.0,28.0,1.0,1.0,1800-1859,18.0,1907.0,2022.0,11.0,2017,2033.0,16.0,16.0,1.0,1.0,2000-2059,0,,0,11.0,0.0,0.0,0.0,5.0
