YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1003,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13198,1319801,33198,MCI,"Kansas City, MO",Missouri,1618,1613.0,-5.0,0.0,0.0,-1.0,1600-1659,13.0,1626.0,1727.0,7.0,1750,1734.0,-16.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1007,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,15016,1501606,31123,STL,"St. Louis, MO",Missouri,2240,2233.0,-7.0,0.0,0.0,-1.0,2200-2259,17.0,2250.0,2319.0,8.0,2346,2327.0,-19.0,0.0,0.0,-2.0,2300-2359,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1008,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11193,1119302,33105,CVG,"Cincinnati, OH",Kentucky,1830,1822.0,-8.0,0.0,0.0,-1.0,1800-1859,14.0,1836.0,1925.0,10.0,1958,1935.0,-23.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1014,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13485,1348502,33485,MSN,"Madison, WI",Wisconsin,1800,1804.0,4.0,4.0,0.0,0.0,1800-1859,19.0,1823.0,1906.0,4.0,1917,1910.0,-7.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1022,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11433,1143302,31295,DTW,"Detroit, MI",Michigan,1300,1259.0,-1.0,0.0,0.0,-1.0,1300-1359,10.0,1309.0,1425.0,11.0,1447,1436.0,-11.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1036,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,14492,1449202,34492,RDU,"Raleigh/Durham, NC",North Carolina,1432,1427.0,-5.0,0.0,0.0,-1.0,1400-1459,11.0,1438.0,1508.0,4.0,1528,1512.0,-16.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1038,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11618,1161802,31703,EWR,"Newark, NJ",New Jersey,1636,1634.0,-2.0,0.0,0.0,-1.0,1600-1659,16.0,1650.0,1801.0,9.0,1829,1810.0,-19.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1043,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,14576,1457607,34576,ROC,"Rochester, NY",New York,2045,2039.0,-6.0,0.0,0.0,-1.0,2000-2059,18.0,2057.0,2211.0,5.0,2238,2216.0,-22.0,0.0,0.0,-2.0,2200-2259,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1045,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11995,1199502,31995,GSO,"Greensboro/High Point, NC",North Carolina,2249,2242.0,-7.0,0.0,0.0,-1.0,2200-2259,19.0,2301.0,2321.0,4.0,2343,2325.0,-18.0,0.0,0.0,-2.0,2300-2359,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1052,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13930,1393008,30977,ORD,"Chicago, IL",Illinois,1305,1304.0,-1.0,0.0,0.0,-1.0,1300-1359,18.0,1322.0,1403.0,10.0,1415,1413.0,-2.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1062,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,10529,1052907,30529,BDL,"Hartford, CT",Connecticut,2250,2242.0,-8.0,0.0,0.0,-1.0,2200-2259,12.0,2254.0,22.0,4.0,48,26.0,-22.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1064,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11995,1199502,31995,GSO,"Greensboro/High Point, NC",North Carolina,1840,1837.0,-3.0,0.0,0.0,-1.0,1800-1859,19.0,1856.0,1916.0,4.0,1932,1920.0,-12.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1071,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11618,1161802,31703,EWR,"Newark, NJ",New Jersey,1835,1830.0,-5.0,0.0,0.0,-1.0,1800-1859,48.0,1918.0,2032.0,11.0,2029,2043.0,14.0,14.0,0.0,0.0,2000-2059,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1077,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11003,1100303,31003,CID,"Cedar Rapids/Iowa City, IA",Iowa,2033,2026.0,-7.0,0.0,0.0,-1.0,2000-2059,21.0,2047.0,2139.0,3.0,2159,2142.0,-17.0,0.0,0.0,-2.0,2100-2159,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1094,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,14635,1463502,31714,RSW,"Fort Myers, FL",Florida,1100,1059.0,-1.0,0.0,0.0,-1.0,1100-1159,17.0,1116.0,1249.0,4.0,1304,1253.0,-11.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1103,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11193,1119302,33105,CVG,"Cincinnati, OH",Kentucky,1005,1042.0,37.0,37.0,1.0,2.0,1000-1059,13.0,1055.0,1147.0,5.0,1132,1152.0,20.0,20.0,1.0,1.0,1100-1159,0.0,,0.0,20.0,0.0,0.0,0.0,0.0
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1138,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13303,1330303,32467,MIA,"Miami, FL",Florida,2015,2017.0,2.0,2.0,0.0,0.0,2000-2059,17.0,2034.0,2208.0,4.0,2227,2212.0,-15.0,0.0,0.0,-1.0,2200-2259,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1141,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",Texas,2035,2030.0,-5.0,0.0,0.0,-1.0,2000-2059,13.0,2043.0,2202.0,11.0,2237,2213.0,-24.0,0.0,0.0,-2.0,2200-2259,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1148,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,10693,1069302,30693,BNA,"Nashville, TN",Tennessee,1649,1715.0,26.0,26.0,1.0,1.0,1600-1659,10.0,1725.0,1721.0,5.0,1720,1726.0,6.0,6.0,0.0,0.0,1700-1759,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1149,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,14679,1467903,33570,SAN,"San Diego, CA",California,855,849.0,-6.0,0.0,0.0,-1.0,0800-0859,23.0,912.0,1038.0,6.0,1117,1044.0,-33.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1153,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,11278,1127805,30852,DCA,"Washington, DC",Virginia,1124,1121.0,-3.0,0.0,0.0,-1.0,1100-1159,31.0,1152.0,1246.0,3.0,1259,1249.0,-10.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1176,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,14635,1463502,31714,RSW,"Fort Myers, FL",Florida,1915,1910.0,-5.0,0.0,0.0,-1.0,1900-1959,16.0,1926.0,2103.0,4.0,2117,2107.0,-10.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1178,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,14730,1473004,33044,SDF,"Louisville, KY",Kentucky,1331,1347.0,16.0,16.0,1.0,1.0,1300-1359,12.0,1359.0,1451.0,6.0,1500,1457.0,-3.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,,,,,
2025,1,2,1,6,2/1/2025 12:00:00 AM,AA,1180,11057,1105703,31057,CLT,"Charlotte, NC",North Carolina,13930,1393008,30977,ORD,"Chicago, IL",Illinois,2256,2251.0,-5.0,0.0,0.0,-1.0,2200-2259,21.0,2312.0,2342.0,8.0,9,2350.0,-19.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,,,,,
