Year,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,DOT_ID_Marketing_Airline,Operating_Airline ,DOT_ID_Operating_Airline,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2024,1,8,1,2024-01-08,UA,19977,G7,20500,4173,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1048,1145.0,57.0,57.0,1.0,3.0,1000-1059,24.0,1209.0,1248.0,26.0,1205,1314.0,69.0,69.0,1.0,4.0,1200-1259,0.0,,0.0,8.0,0.0,12.0,0.0,49.0
2024,1,7,7,2024-01-07,UA,19977,G7,20500,4173,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1048,1053.0,5.0,5.0,0.0,0.0,1000-1059,47.0,1140.0,1218.0,9.0,1205,1227.0,22.0,22.0,1.0,1.0,1200-1259,0.0,,0.0,0.0,0.0,22.0,0.0,0.0
2024,1,6,6,2024-01-06,UA,19977,G7,20500,4173,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1048,1240.0,112.0,112.0,1.0,7.0,1000-1059,60.0,1340.0,1409.0,9.0,1205,1418.0,133.0,133.0,1.0,8.0,1200-1259,0.0,,0.0,0.0,0.0,21.0,0.0,112.0
2024,1,5,5,2024-01-05,UA,19977,G7,20500,4173,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1048,1045.0,-3.0,0.0,0.0,-1.0,1000-1059,33.0,1118.0,1148.0,10.0,1205,1158.0,-7.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,,,,,
2024,1,4,4,2024-01-04,UA,19977,G7,20500,4173,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1048,1234.0,106.0,106.0,1.0,7.0,1000-1059,15.0,1249.0,1325.0,8.0,1205,1333.0,88.0,88.0,1.0,5.0,1200-1259,0.0,,0.0,88.0,0.0,0.0,0.0,0.0
2024,1,3,3,2024-01-03,UA,19977,G7,20500,4173,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1048,1036.0,-12.0,0.0,0.0,-1.0,1000-1059,23.0,1059.0,1136.0,10.0,1205,1146.0,-19.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,,,,,
2024,1,2,2,2024-01-02,UA,19977,G7,20500,4173,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1048,1042.0,-6.0,0.0,0.0,-1.0,1000-1059,31.0,1113.0,1143.0,7.0,1205,1150.0,-15.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,,,,,
2024,1,1,1,2024-01-01,UA,19977,G7,20500,4173,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1048,1040.0,-8.0,0.0,0.0,-1.0,1000-1059,25.0,1105.0,1134.0,11.0,1205,1145.0,-20.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,,,,,
2024,1,7,7,2024-01-07,UA,19977,YX,20452,3440,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1758,1749.0,-9.0,0.0,0.0,-1.0,1700-1759,22.0,1811.0,1858.0,7.0,1917,1905.0,-12.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,,,,,
2024,1,6,6,2024-01-06,UA,19977,YX,20452,3440,11057,1105703,31057,CLT,"Charlotte, NC",13930,1393008,30977,ORD,"Chicago, IL",1749,1752.0,3.0,3.0,0.0,0.0,1700-1759,27.0,1819.0,1852.0,25.0,1908,1917.0,9.0,9.0,0.0,0.0,1900-1959,0.0,,0.0,,,,,
2024,1,7,7,2024-01-07,DL,19790,DL,19790,2705,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1959,1956.0,-3.0,0.0,0.0,-1.0,1900-1959,18.0,2014.0,2059.0,6.0,2122,2105.0,-17.0,0.0,0.0,-2.0,2100-2159,0.0,,0.0,,,,,
